Sample in Buffer,Sample in Window,TRIGGER,pwm_out_1[7:0],cnt_out_1[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
702,702,0,00,c8
703,703,0,00,c9
704,704,0,00,ca
705,705,0,00,cb
706,706,0,00,cc
707,707,0,00,cd
708,708,0,00,ce
709,709,0,00,cf
710,710,0,00,d0
711,711,0,00,d1
712,712,0,00,d2
713,713,0,00,d3
714,714,0,00,d4
715,715,0,00,d5
716,716,0,00,d6
717,717,0,00,d7
718,718,0,00,d8
719,719,0,00,d9
720,720,0,00,da
721,721,0,00,db
722,722,0,00,dc
723,723,0,00,dd
724,724,0,00,de
725,725,0,00,df
726,726,0,00,e0
727,727,0,00,e1
728,728,0,00,e2
729,729,0,00,e3
730,730,0,00,e4
731,731,0,00,e5
732,732,0,00,e6
733,733,0,00,e7
734,734,0,00,e8
735,735,0,00,e9
736,736,0,00,ea
737,737,0,00,eb
738,738,0,00,ec
739,739,0,00,ed
740,740,0,00,ee
741,741,0,00,ef
742,742,0,00,f0
743,743,0,00,f1
744,744,0,00,f2
745,745,0,00,f3
746,746,0,00,f4
747,747,0,00,f5
748,748,0,00,f6
749,749,0,00,f7
750,750,0,00,f8
751,751,0,00,f9
752,752,0,00,fa
753,753,0,00,fb
754,754,0,00,fc
755,755,0,00,fd
756,756,0,00,fe
757,757,0,00,00
758,758,0,08,01
759,759,0,08,02
760,760,0,08,03
761,761,0,08,04
762,762,0,08,05
763,763,0,08,06
764,764,0,08,07
765,765,0,08,08
766,766,0,08,09
767,767,0,08,0a
768,768,0,08,0b
769,769,0,08,0c
770,770,0,08,0d
771,771,0,08,0e
772,772,0,08,0f
773,773,0,08,10
774,774,0,08,11
775,775,0,08,12
776,776,0,08,13
777,777,0,08,14
778,778,0,08,15
779,779,0,08,16
780,780,0,08,17
781,781,0,08,18
782,782,0,08,19
783,783,0,08,1a
784,784,0,08,1b
785,785,0,08,1c
786,786,0,08,1d
787,787,0,08,1e
788,788,0,08,1f
789,789,0,08,20
790,790,0,08,21
791,791,0,08,22
792,792,0,08,23
793,793,0,08,24
794,794,0,08,25
795,795,0,08,26
796,796,0,08,27
797,797,0,08,28
798,798,0,08,29
799,799,0,08,2a
800,800,0,08,2b
801,801,0,08,2c
802,802,0,08,2d
803,803,0,08,2e
804,804,0,08,2f
805,805,0,08,30
806,806,0,08,31
807,807,0,08,32
808,808,0,08,33
809,809,0,08,34
810,810,0,08,35
811,811,0,08,36
812,812,0,08,37
813,813,0,08,38
814,814,0,08,39
815,815,0,08,3a
816,816,0,08,3b
817,817,0,08,3c
818,818,0,08,3d
819,819,0,08,3e
820,820,0,08,3f
821,821,0,08,40
822,822,0,08,41
823,823,0,08,42
824,824,0,08,43
825,825,0,08,44
826,826,0,08,45
827,827,0,08,46
828,828,0,08,47
829,829,0,08,48
830,830,0,08,49
831,831,0,08,4a
832,832,0,08,4b
833,833,0,08,4c
834,834,0,08,4d
835,835,0,08,4e
836,836,0,08,4f
837,837,0,08,50
838,838,0,08,51
839,839,0,08,52
840,840,0,08,53
841,841,0,08,54
842,842,0,08,55
843,843,0,08,56
844,844,0,08,57
845,845,0,08,58
846,846,0,08,59
847,847,0,08,5a
848,848,0,08,5b
849,849,0,08,5c
850,850,0,08,5d
851,851,0,08,5e
852,852,0,08,5f
853,853,0,08,60
854,854,0,08,61
855,855,0,08,62
856,856,0,08,63
857,857,0,08,64
858,858,0,08,65
859,859,0,08,66
860,860,0,08,67
861,861,0,08,68
862,862,0,08,69
863,863,0,08,6a
864,864,0,08,6b
865,865,0,08,6c
866,866,0,08,6d
867,867,0,08,6e
868,868,0,08,6f
869,869,0,08,70
870,870,0,08,71
871,871,0,08,72
872,872,0,08,73
873,873,0,08,74
874,874,0,08,75
875,875,0,08,76
876,876,0,08,77
877,877,0,08,78
878,878,0,08,79
879,879,0,08,7a
880,880,0,08,7b
881,881,0,08,7c
882,882,0,08,7d
883,883,0,08,7e
884,884,0,08,7f
885,885,0,08,80
886,886,0,08,81
887,887,0,08,82
888,888,0,08,83
889,889,0,08,84
890,890,0,08,85
891,891,0,08,86
892,892,0,08,87
893,893,0,08,88
894,894,0,08,89
895,895,0,08,8a
896,896,0,08,8b
897,897,0,08,8c
898,898,0,08,8d
899,899,0,08,8e
900,900,0,08,8f
901,901,0,08,90
902,902,0,08,91
903,903,0,08,92
904,904,0,08,93
905,905,0,08,94
906,906,0,08,95
907,907,0,08,96
908,908,0,08,97
909,909,0,08,98
910,910,0,08,99
911,911,0,00,9a
912,912,0,00,9b
913,913,0,00,9c
914,914,0,00,9d
915,915,0,00,9e
916,916,0,00,9f
917,917,0,00,a0
918,918,0,00,a1
919,919,0,00,a2
920,920,0,00,a3
921,921,0,00,a4
922,922,0,00,a5
923,923,0,00,a6
924,924,0,00,a7
925,925,0,00,a8
926,926,0,00,a9
927,927,0,00,aa
928,928,0,00,ab
929,929,0,00,ac
930,930,0,00,ad
931,931,0,00,ae
932,932,0,00,af
933,933,0,00,b0
934,934,0,00,b1
935,935,0,00,b2
